User Question,Ground Truth SQL Query,Generated SQL by Base Model,Explanation by Base Model,Generated SQL by FT Model,Explanation by FT Model,Model that got it right
What is the on-time delivery rate per month?,"SELECT TO_CHAR(orders.OrderDate, 'YYYY-MM') AS Month, COUNT(CASE WHEN orders.ShippedDate <= orders.RequiredDate THEN 1 END) * 1.0 / COUNT(orders.OrderID) AS OnTimeDeliveryRate FROM orders GROUP BY TO_CHAR(orders.OrderDate, 'YYYY-MM')","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month,
    COUNT(OrderID) AS TotalOrders,
    COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) AS OnTimeDeliveries,
    (COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) / COUNT(OrderID)) * 100 AS OnTimeDeliveryRate
FROM 
    orders
GROUP BY 
    Month
ORDER BY 
    Month;
```","Both queries calculate the on-time delivery rate per month by dividing the count of on-time deliveries by the total orders for each month. The Generated SQL additionally includes the count of total orders and on-time deliveries, but the essential rate calculation matches the Ground Truth.","SELECT TO_CHAR(OrderDate, 'YYYY-MM') AS OrderMonth, (COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) * 100.0 / COUNT(*)) AS OnTimeDeliveryRate FROM orders GROUP BY TO_CHAR(OrderDate, 'YYYY-MM');","Both queries calculate the on-time delivery rate per month by comparing ShippedDate and RequiredDate, grouped by month derived from OrderDate. Differences in identifiers and multiplication for percentages do not affect the logic or outcome.",both
Which suppliers have the slowest lead times in the last year?,"SELECT s.SupplierID, AVG(DATEDIFF(o.ShippedDate, o.OrderDate)) AS avg_lead_time FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID JOIN products p ON od.ProductID = p.ProductID JOIN suppliers s ON p.SupplierID = s.SupplierID WHERE o.OrderDate BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY s.SupplierID ORDER BY avg_lead_time DESC","```sql
SELECT products.SupplierID, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS supplier_lead_time
FROM orders
JOIN products ON orders.OrderID = products.ProductID
WHERE orders.OrderDate >= DATE_SUB(NOW(), INTERVAL 1 YEAR)
GROUP BY products.SupplierID
ORDER BY supplier_lead_time DESC
```","The generated query joins orders and products directly on OrderID and ProductID, which seems incorrect. It also uses DATE_SUB with NOW() for a dynamic date range, while the ground truth uses a fixed date range and the correct join through Order Details and suppliers.","SELECT products.SupplierID, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS avg_lead_time FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN products ON [Order Details].ProductID = products.ProductID WHERE orders.OrderDate BETWEEN '2022-11-01' AND '2023-10-31' GROUP BY products.SupplierID ORDER BY avg_lead_time DESC","The generated query uses an incorrect date range (Nov 2022 to Oct 2023) while the ground truth query uses the calendar year 2022, leading to different results.",None
What was the average time taken to fulfill orders each month?,"SELECT EXTRACT(YEAR FROM OrderDate) AS Year, EXTRACT(MONTH FROM OrderDate) AS Month, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgFulfillmentTime FROM orders GROUP BY Year, Month;","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month,
    AVG(DATEDIFF(ShippedDate, OrderDate)) AS AverageFulfillmentTime
FROM 
    orders
GROUP BY 
    Month
ORDER BY 
    Month;
```","Both queries calculate the average time taken to fulfill orders each month. The generated query uses DATE_FORMAT to group by month and year, while the ground truth separates them using EXTRACT. Both achieve the same result.","SELECT DATE_FORMAT(orders.OrderDate, '%Y-%m') AS month, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS avg_fulfillment_time FROM orders GROUP BY month;","Both queries calculate the average time taken to fulfill orders each month by computing the difference between 'OrderDate' and 'ShippedDate', then averaging these differences. They group the results by year and month, just using different date formatting methods.",both
Calculate the total revenue generated by each product.,"SELECT ProductName, SUM([Order Details].Quantity * [Order Details].UnitPrice) AS TotalRevenue FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY ProductName;","```sql
SELECT p.ProductID, p.ProductName, SUM(od.Quantity * od.UnitPrice) AS TotalRevenue
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName
```","Both queries calculate the total revenue for each product by summing the product of quantity and unit price from the joined 'products' and 'Order Details' tables, grouped by product. The inclusion of 'ProductID' in the GROUP BY clause and SELECT statement does not affect the calculation of total revenue.","SELECT products.ProductName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalRevenue FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY products.ProductName;","The generated query includes a discount calculation, so it calculates the discounted revenue, while the ground truth query calculates the total revenue without discounts.",Base
What is the customer retention rate for Q2 2023?,SELECT (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-06-30')::FLOAT / (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate < '2023-04-01') AS retention_rate,"```sql
SELECT (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-06-30') / (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate < '2023-04-01') AS customer_retention_rate
```",The generated query uses integer division which could lead to inaccurate results if not handled correctly. The ground truth uses a typecast to float for accurate results.,"To calculate the customer retention rate for Q2 2023, we need to use the formula: (Number of customers in Q2 2023 who also ordered in Q1 2023) / (Number of customers in Q1 2023). Here's the SQL query that can help calculate this: ``` SELECT (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-06-30') * 1.0 / (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate < '2023-04-01') AS customer_retention_rate ```","Both queries calculate the percentage of Q2 2023 customers out of Q1 2023 customers, rather than the retention rate of those who ordered in both quarters.",None
Which products have never been ordered?,"SELECT p.ProductID, p.ProductName FROM products p LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID WHERE od.OrderID IS NULL;","```sql
SELECT p.ProductID, p.ProductName
FROM products p
LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID
WHERE od.ProductID IS NULL;
```","Both queries use a LEFT JOIN between products and [Order Details] and filter for null values in the joined table to find products with no orders. The difference in the WHERE clause does not impact the result because when there is no match, both od.ProductID and od.OrderID would be NULL.",SELECT ProductName FROM products WHERE ProductID NOT IN (SELECT DISTINCT ProductID FROM [Order Details]);,"Both queries aim to find products without any associated orders. The generated query uses a subquery with 'NOT IN', while the ground truth query uses a LEFT JOIN with a NULL check. Both yield the same result.",both
Identify customers with orders shipped within 7 days of the order date.,"SELECT c.CustomerID, o.OrderID FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID WHERE DATEDIFF(o.ShippedDate, o.OrderDate) <= 7;","```sql
SELECT DISTINCT c.CustomerID, c.CompanyName, c.ContactName, c.ContactTitle, c.Address, c.City, c.Region, c.PostalCode, c.Country, c.Phone, c.Fax
FROM customers c
JOIN orders o ON c.CustomerID = o.CustomerID
WHERE DATEDIFF(o.ShippedDate, o.OrderDate) <= 7;
```","Both queries identify customers who have orders shipped within 7 days of the order date. The difference lies in the output fields: the generated query includes more customer details, while the ground truth query returns only CustomerID and OrderID. However, the core condition and logic align with the user's question.","SELECT DISTINCT o.CustomerID FROM orders o WHERE DATEDIFF(o.ShippedDate, o.OrderDate) <= 7;","The generated SQL query only provides distinct CustomerIDs, whereas the ground truth SQL also includes OrderIDs for customers with orders shipped within 7 days.",Base
What are the top 3 shipping addresses based on frequency of deliveries?,"SELECT ShipAddress, COUNT(*) AS DeliveryCount FROM orders GROUP BY ShipAddress ORDER BY DeliveryCount DESC LIMIT 3;","```sql
SELECT ShipAddress, COUNT(OrderID) AS DeliveryCount
FROM orders
GROUP BY ShipAddress
ORDER BY DeliveryCount DESC
LIMIT 3;
```","Both queries count deliveries per ShipAddress, group by ShipAddress, and order by delivery count, limiting to the top 3 results. The use of COUNT(OrderID) or COUNT(*) does not affect the result in terms of counting the frequency of ShipAddress.","SELECT ShipAddress, COUNT(OrderID) AS Frequency FROM orders GROUP BY ShipAddress ORDER BY Frequency DESC LIMIT 3;",Both queries count the number of deliveries to each shipping address and order the results to get the top 3 most frequent addresses. They use different aliases for the count but achieve the same outcome.,both
How many products from each supplier are on order?,"SELECT p.SupplierID, COUNT(*) AS ProductsOnOrder FROM products p WHERE p.UnitsOnOrder > 0 GROUP BY p.SupplierID;","```sql
SELECT SupplierID, COUNT(ProductID) AS ProductsOnOrder
FROM products
WHERE UnitsOnOrder > 0
GROUP BY SupplierID;
```","Both queries count the number of products on order, grouped by SupplierID, and have the same logic despite slight differences in syntax.","SELECT suppliers.CompanyName, COUNT(products.ProductID) AS products_on_order FROM products JOIN suppliers ON products.SupplierID = suppliers.SupplierID WHERE products.UnitsOnOrder > 0 GROUP BY suppliers.SupplierID","Both queries aim to count the number of products on order per supplier. The generated query provides supplier names, while the ground truth includes SupplierID. Both correctly filter for products with UnitsOnOrder > 0 and group by SupplierID, resulting in equivalent output for the purpose of the user question.",both
Identify the top 5 best-selling products based on order quantity.,"SELECT ProductID, ProductName, SUM(Quantity) AS TotalQuantity FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID GROUP BY ProductID, ProductName ORDER BY TotalQuantity DESC LIMIT 5;","```sql
SELECT p.ProductID, p.ProductName, SUM(od.Quantity) AS TotalQuantity
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName
ORDER BY TotalQuantity DESC
LIMIT 5;
```","Both queries calculate the total quantity sold for each product by joining the 'products' table with the 'Order Details' table and order the results by the total quantity in descending order, finally limiting the results to the top 5 products.","SELECT p.ProductName, SUM(od.Quantity) AS TotalQuantity FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductName ORDER BY TotalQuantity DESC LIMIT 5;","Both queries calculate the total quantity sold for each product and order the results in descending order to find the top 5 products. They differ in grouping, but this doesn't affect the result as the join condition and aggregation columns ensure consistency.",both
Identify the least sold product and the number of units sold.,"SELECT p.ProductName, SUM(od.Quantity) AS TotalSold FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductID ORDER BY TotalSold ASC LIMIT 1;","```sql
SELECT p.ProductID, p.ProductName, SUM(od.Quantity) AS UnitsSold
FROM products p
LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName
ORDER BY UnitsSold ASC
LIMIT 1;
```","The generated query considers products with no sales using LEFT JOIN, while the ground truth uses an INNER JOIN, which only considers products that were sold. Therefore, they may yield different results.","SELECT ProductID, SUM(Quantity) AS TotalSold FROM [Order Details] GROUP BY ProductID ORDER BY TotalSold ASC LIMIT 1;","The generated query only selects ProductID, not the actual product name, which doesn't fully address the user's question as the ground truth query does.",None
Which employee generated the most sales revenue in 2023?,"SELECT employees.EmployeeID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS employee_sales FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN employees ON orders.EmployeeID = employees.EmployeeID WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY employees.EmployeeID ORDER BY employee_sales DESC LIMIT 1","```sql
SELECT employees.EmployeeID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales 
FROM [Order Details] 
JOIN orders ON [Order Details].OrderID = orders.OrderID 
JOIN employees ON orders.EmployeeID = employees.EmployeeID 
WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' 
GROUP BY employees.EmployeeID 
ORDER BY total_sales DESC 
LIMIT 1;
```",Both queries calculate the total sales revenue per employee for the year 2023 and return the employee with the highest sales. The difference in alias names does not affect the result.,"SELECT employees.EmployeeID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID WHERE YEAR(orders.OrderDate) = 2023 GROUP BY employees.EmployeeID ORDER BY TotalSales DESC LIMIT 1;",Both queries correctly calculate the total sales revenue by employee for the year 2023 and return the employee with the highest sales. The difference in date filtering functions does not affect the results.,both
Determine the average discount given to products per month.,"SELECT MONTH(OrderDate) AS Month, AVG(Discount) AS AvgDiscount FROM [Order Details] GROUP BY MONTH(OrderDate);","```sql
SELECT AVG(Discount) AS AverageDiscount
FROM [Order Details]
GROUP BY EXTRACT(YEAR FROM OrderDate), EXTRACT(MONTH FROM OrderDate);
```","The generated query groups by both year and month, which may lead to averages calculated per month per year. The ground truth query groups by month only, which aligns with calculating the average discount for all records of each month disregarding the year.","SELECT EXTRACT(YEAR FROM orders.OrderDate) AS Year, EXTRACT(MONTH FROM orders.OrderDate) AS Month, AVG([Order Details].Discount) AS AvgDiscount FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID GROUP BY Year, Month;","The generated query includes extracting the year and groups by both year and month, while the ground truth groups only by month, disregarding the year. This would lead to different grouping and averaging results if the dataset spans multiple years.",None
What is the total value of current inventory for each supplier?,"SELECT SupplierID, SUM(UnitsInStock * UnitPrice) AS InventoryValue FROM products GROUP BY SupplierID;","```sql
SELECT p.SupplierID, SUM(p.UnitPrice * p.UnitsInStock) AS TotalInventoryValue
FROM products p
WHERE p.Discontinued = 0
GROUP BY p.SupplierID;
```","The generated query includes a WHERE clause to exclude discontinued products, which affects the result. The ground truth query considers all products regardless of their discontinued status.","SELECT s.SupplierName, SUM(p.UnitsInStock * p.UnitPrice) AS TotalInventoryValue FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID GROUP BY s.SupplierName;","Both queries calculate the total inventory value per supplier by multiplying 'UnitsInStock' by 'UnitPrice' and grouping the results by supplier. The generated query provides supplier names instead of IDs, which gives more information, but fundamentally addresses the user's question.",FT
List all customers who placed orders in the first quarter of 2023.,SELECT DISTINCT customers.CustomerID FROM customers JOIN orders ON customers.CustomerID = orders.CustomerID WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-03-31';,"```sql
SELECT DISTINCT c.CustomerID, c.CompanyName, c.ContactName, c.ContactTitle, c.Address, c.City, c.Region, c.PostalCode, c.Country, c.Phone, c.Fax
FROM customers c
JOIN orders o ON c.CustomerID = o.CustomerID
WHERE o.OrderDate BETWEEN '2023-01-01' AND '2023-03-31';
```",The generated query selects additional customer details while the ground truth query selects only CustomerID.,SELECT DISTINCT customers.CustomerID FROM customers JOIN orders ON customers.CustomerID = orders.CustomerID WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-03-31';,"The generated SQL query is identical to the ground truth SQL query, meaning it accurately answers the user's question by listing all customers who placed orders in the first quarter of 2023.",FT
What is the average freight cost of all orders?,SELECT AVG(o.Freight) AS AvgFreightCost FROM orders o;,"```sql
SELECT AVG(Freight) AS AverageFreightCost FROM orders;
```",Both queries calculate the average freight cost from the 'orders' table and will yield the same result.,SELECT AVG(Freight) AS AverageFreight FROM orders;,"Both queries calculate the average freight from the 'orders' table using the AVG function, thus answering the user's question accurately.",both
What is the total freight cost for orders handled by each employee?,"SELECT employees.EmployeeID, SUM(orders.Freight) AS TotalFreight FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID GROUP BY employees.EmployeeID","```sql
SELECT 
    e.EmployeeID, 
    e.FirstName, 
    e.LastName, 
    SUM(o.Freight) AS TotalFreightCost
FROM 
    employees e
JOIN 
    orders o ON e.EmployeeID = o.EmployeeID
GROUP BY 
    e.EmployeeID, e.FirstName, e.LastName
```","Both queries group by EmployeeID and calculate the total freight cost for orders handled by each employee, yielding equivalent results.","SELECT e.EmployeeID, SUM(o.Freight) AS TotalFreight FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID GROUP BY e.EmployeeID;","Both queries join the 'employees' and 'orders' tables on EmployeeID and calculate the total freight for each employee. The syntax and aliases differ, but the functionality and results are identical.",both
Determine the monthly trend of quantities sold for each product.,"SELECT DATE_TRUNC('month', OrderDate) AS Month, p.ProductName, SUM(od.Quantity) AS MonthlyQuantity FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY DATE_TRUNC('month', OrderDate), p.ProductName;","```sql
SELECT 
    p.ProductID, 
    p.ProductName, 
    DATE_FORMAT(o.OrderDate, '%Y-%m') AS Month, 
    SUM(od.Quantity) AS TotalQuantitySold
FROM 
    products p
JOIN 
    [Order Details] od ON p.ProductID = od.ProductID
JOIN 
    orders o ON od.OrderID = o.OrderID
GROUP BY 
    p.ProductID, Month
ORDER BY 
    Month, p.ProductID;
```","The generated SQL query uses DATE_FORMAT which is specific to MySQL, while the ground truth uses DATE_TRUNC, which is not equivalent. Additionally, the generated query includes 'p.ProductID' in the SELECT clause and ORDER BY clause, which the ground truth does not have. This could lead to different groupings or ordering unless the SQL dialect can handle such groupings correctly.","SELECT p.ProductID, EXTRACT(MONTH FROM o.OrderDate) AS Month, SUM(od.Quantity) AS MonthlyTrend FROM [Order Details] od JOIN orders o ON od.OrderID = o.OrderID JOIN products p ON od.ProductID = p.ProductID GROUP BY p.ProductID, Month HAVING SUM(od.Quantity) > 0;","The generated query extracts the month but groups by ProductID and Month, while the ground truth groups by the truncated month and ProductName. The generated query also includes a HAVING clause to exclude zero quantities and doesn't output ProductName.",None
How many units of each product were sold monthly?,"SELECT products.ProductID, DATE_TRUNC('month', orders.OrderDate) AS order_month, SUM([Order Details].Quantity) AS units_sold FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID GROUP BY products.ProductID, order_month","```sql
SELECT products.ProductID, SUM([Order Details].Quantity) AS total_units_sold, MONTH(orders.OrderDate) AS month, YEAR(orders.OrderDate) AS year
FROM [Order Details]
JOIN products ON [Order Details].ProductID = products.ProductID
JOIN orders ON [Order Details].OrderID = orders.OrderID
GROUP BY products.ProductID, YEAR(orders.OrderDate), MONTH(orders.OrderDate)
ORDER BY year, month, products.ProductID;
```","Both queries calculate the total units sold for each product per month and group by product and month. The difference in syntax (using YEAR/MONTH vs. DATE_TRUNC) does not affect the result, making the logic equivalent.","SELECT EXTRACT(MONTH FROM orders.OrderDate) AS OrderMonth, products.ProductID, SUM([Order Details].Quantity) AS TotalSold FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID GROUP BY EXTRACT(MONTH FROM orders.OrderDate), products.ProductID","Both queries calculate the total quantity sold for each product monthly. The first query groups by month extracted from the order date, while the second query uses DATE_TRUNC to achieve a similar grouping. Both yield the same result despite minor differences in syntax.",both
What is the total potential revenue from products not yet ordered?,SELECT SUM(UnitPrice * UnitsInStock) AS PotentialRevenue FROM products WHERE ProductID NOT IN (SELECT DISTINCT ProductID FROM [Order Details]);,"```sql
SELECT SUM(UnitPrice * UnitsInStock) AS TotalPotentialRevenue
FROM products
WHERE UnitsOnOrder = 0;
```","The generated query checks for products with no units currently on order, while the ground truth checks for products that have never been ordered based on the 'Order Details' table.",SELECT SUM(UnitPrice * UnitsInStock) AS PotentialRevenue FROM products WHERE UnitsOnOrder = 0;,"The generated query checks for products with zero units on order, whereas the ground truth checks for products that have not been ordered at all.",None
Determine the top 3 countries by total supplier revenue.,"SELECT suppliers.Country, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS CountryRevenue FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY suppliers.Country ORDER BY CountryRevenue DESC LIMIT 3;","```sql
SELECT suppliers.Country, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalRevenue
FROM suppliers
JOIN products ON suppliers.SupplierID = products.SupplierID
JOIN [Order Details] ON products.ProductID = [Order Details].ProductID
JOIN orders ON [Order Details].OrderID = orders.OrderID
GROUP BY suppliers.Country
ORDER BY TotalRevenue DESC
LIMIT 3;
```","Both queries calculate the total revenue for each country and order them in descending order, limiting the result to the top 3 countries. The slight difference in alias names for the revenue column does not affect the outcome.","SELECT Country, SUM(UnitPrice * Quantity * (1 - Discount)) AS TotalRevenue FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY s.Country ORDER BY TotalRevenue DESC LIMIT 3;","Both queries calculate the total revenue for each country by joining the suppliers, products, and order details tables. They sum the product of unit price, quantity, and discount for each order detail, grouped by country, and order the results in descending order to return the top 3 countries by revenue.",both
Which employee has generated the highest sales revenue?,"SELECT employees.EmployeeID, CONCAT(employees.FirstName, ' ', employees.LastName) AS EmployeeName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY employees.EmployeeID ORDER BY TotalSales DESC LIMIT 1;","```sql
SELECT e.EmployeeID, e.FirstName, e.LastName, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY e.EmployeeID
ORDER BY TotalSales DESC
LIMIT 1;
```",Both queries calculate total sales for each employee and return the employee with the highest total sales. Differences in SELECT clause (name concatenation) do not affect the outcome.,"SELECT employees.EmployeeID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN employees ON orders.EmployeeID = employees.EmployeeID GROUP BY employees.EmployeeID ORDER BY total_sales DESC LIMIT 1","Both queries calculate total sales per employee using the same formula and return the employee with the highest sales revenue. The main difference is that the ground truth query includes the employee's name, which does not affect the core result of finding the highest sales, therefore the generated query still answers the user's question accurately.",both
What is the average order fulfillment time in days for each month?,"SELECT EXTRACT(YEAR FROM OrderDate) AS Year, EXTRACT(MONTH FROM OrderDate) AS Month, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgFulfillmentTime FROM orders GROUP BY Year, Month;","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month, 
    AVG(DATEDIFF(ShippedDate, OrderDate)) AS Average_Fulfillment_Time
FROM 
    orders
GROUP BY 
    Month
ORDER BY 
    Month;
```","Both queries calculate the average order fulfillment time per month, using DATEDIFF on ShippedDate and OrderDate, and group results by month. The date formatting differs, but the results are functionally equivalent.","SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgFulfillmentTime FROM orders GROUP BY DATE_FORMAT(OrderDate, '%Y-%m');",Both queries calculate the average order fulfillment time in days for each month. The only difference is in how the month is extracted and represented. The results will be the same as both group by year and month effectively.,both
How does the on-time delivery rate vary by region?,"SELECT ShipRegion, (COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) * 1.0 / COUNT(OrderID)) * 100 AS on_time_delivery_rate FROM orders GROUP BY ShipRegion;","```sql
SELECT ShipRegion, 
       COUNT(OrderID) AS TotalOrders, 
       COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) AS OnTimeDeliveries,
       COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) * 1.0 / COUNT(OrderID) AS OnTimeDeliveryRate
FROM orders
GROUP BY ShipRegion;
```","Both queries calculate the on-time delivery rate by region using the same logic. The difference is that the generated SQL includes additional counts of total orders and on-time deliveries, but these do not affect the correctness of the on-time delivery rate calculation.","SELECT ShipRegion, COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) * 100.0 / COUNT(OrderID) AS on_time_delivery_rate FROM orders GROUP BY ShipRegion ORDER BY on_time_delivery_rate DESC;","Both queries calculate the on-time delivery rate by region and return the same results. They differ only in the order of applying multiplication by 100, which does not affect the outcome.",both
How does the average order value change per region?,"SELECT c.Region, AVG(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS AvgOrderValue FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY c.Region","```sql
SELECT c.Region, AVG(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS AverageOrderValue
FROM customers c
JOIN orders o ON c.CustomerID = o.CustomerID
JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY c.Region;
```",Both queries calculate the average order value per region by grouping on the column 'Region' from the customers table and using the same formula for AverageOrderValue. The results will be identical.,"SELECT Region, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) / COUNT(DISTINCT o.OrderID) AS AverageOrderValue FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY Region;","The generated SQL query calculates the average order value by dividing the total sales by the number of unique orders per region, whereas the ground truth query calculates the average order amount per order without considering the distinct orders. Additionally, the ground truth includes a join with the customers table to get the region.",Base
What is the total number of orders shipped on time by each employee?,"SELECT employees.EmployeeID, COUNT(orders.OrderID) AS OnTimeOrders FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID WHERE orders.ShippedDate <= orders.RequiredDate GROUP BY employees.EmployeeID","```sql
SELECT e.EmployeeID, e.FirstName, e.LastName, COUNT(o.OrderID) AS TotalOnTimeOrders
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
WHERE o.ShippedDate <= o.RequiredDate
GROUP BY e.EmployeeID;
```","Both queries correctly count the on-time orders for each employee by joining employees with orders, filtering by ShippedDate <= RequiredDate, and grouping by EmployeeID.","SELECT e.EmployeeID, COUNT(o.OrderID) AS OnTimeOrders FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID WHERE o.ShippedDate <= o.RequiredDate GROUP BY e.EmployeeID","Both queries select EmployeeID and count orders where the ShippedDate is on or before the RequiredDate, grouped by EmployeeID. They are functionally equivalent.",both
How much total revenue did each product category generate in 2023?,"SELECT c.CategoryName, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS total_revenue FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID JOIN categories c ON p.CategoryID = c.CategoryID JOIN orders o ON od.OrderID = o.OrderID WHERE YEAR(o.OrderDate) = 2023 GROUP BY c.CategoryName","```sql
SELECT categories.CategoryID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_revenue
FROM [Order Details]
JOIN products ON [Order Details].ProductID = products.ProductID
JOIN categories ON products.CategoryID = categories.CategoryID
JOIN orders ON [Order Details].OrderID = orders.OrderID
WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31'
GROUP BY categories.CategoryID
```","The generated SQL groups by CategoryID, whereas the ground truth groups by CategoryName. This could result in different outputs if categories have distinct names for the same ID or vice versa. The revenue calculation otherwise matches.","SELECT categories.CategoryID, categories.CategoryName, SUM([Order Details].Quantity * [Order Details].UnitPrice * (1 - [Order Details].Discount)) AS total_revenue FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN categories ON products.CategoryID = categories.CategoryID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY categories.CategoryID, categories.CategoryName","Both queries calculate the total revenue for each product category in 2023. The generated SQL uses a date range for 2023, while the ground truth query uses the YEAR function, but both approaches yield the same result. The group by columns in the generated query include CategoryID and CategoryName, which is more detailed but still correct.",FT
