Question,Ground Truth Query,Generated Query by FT,Explanation by FT,Generated Query by Base Model,Explanation by Base Model,Model that got it right,Model that got it wrong
Which shipping company has the highest on-time delivery rate?,"SELECT shippers.CompanyName, COUNT(orders.OrderID) WHERE orders.ShippedDate <= orders.RequiredDate / COUNT(orders.OrderID) AS on_time_delivery_rate FROM orders JOIN shippers ON orders.ShipVia = shippers.ShipperID GROUP BY shippers.CompanyName ORDER BY on_time_delivery_rate DESC LIMIT 1","SELECT shippers.ShipperID, shippers.CompanyName, COUNT(orders.OrderID WHERE orders.ShippedDate <= orders.RequiredDate) / COUNT(orders.OrderID) AS on_time_delivery_rate FROM orders JOIN shippers ON orders.ShipVia = shippers.ShipperID GROUP BY shippers.ShipperID","The generated SQL query contains a syntax error in the COUNT function and omits the ORDER BY and LIMIT clauses present in the ground truth SQL query. Also, GROUP BY should be on shippers.CompanyName instead of shippers.ShipperID.","```sql
SELECT shippers.CompanyName, 
       COUNT(orders.OrderID WHERE orders.ShippedDate <= orders.RequiredDate) * 1.0 / COUNT(orders.OrderID AS on_time_delivery_rate
FROM orders 
JOIN shippers ON orders.ShipVia = shippers.ShipperID 
GROUP BY shippers.CompanyName 
ORDER BY on_time_delivery_rate DESC 
LIMIT 1;
```","The generated SQL query has a syntax error. The COUNT function is used incorrectly by placing the WHERE clause inside it, which is not valid SQL syntax. Additionally, there is a missing parenthesis before AS in COUNT(orders.OrderID). Both the COUNT and division operations should be outside the COUNT function and handled properly.",Both,None
What is the total discount amount given for each product?,"SELECT p.ProductName, SUM(od.UnitPrice * od.Quantity * od.Discount) AS TotalDiscount FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductName;","```sql
SELECT p.ProductID, p.ProductName, SUM(od.UnitPrice * od.Quantity * od.Discount) AS TotalDiscount FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY p.ProductID, p.ProductNameORDER BY TotalDiscount DESC;
```","The generated SQL query includes the ProductID in the SELECT statement and GROUP BY clause, whereas the ground truth query does not. The user question specifies the total discount amount given for each product, which matches the ground truth query that only summarizes by ProductName. The inclusion of ProductID is unnecessary for answering the user question as requested.","```sql
SELECT 
    products.ProductID,
    products.ProductName,
    SUM([Order Details].Discount * [Order Details].UnitPrice * [Order Details].Quantity) AS TotalDiscount
FROM 
    products
JOIN 
    [Order Details] ON products.ProductID = [Order Details].ProductID
GROUP BY 
    products.ProductID, products.ProductName;
```","The generated SQL query correctly calculates the total discount amount given for each product using the appropriate schema. It groups the results by ProductID and ProductName, and sums the discount amount based on the UnitPrice, Quantity, and Discount fields from the order details.",Base,FT
List customers who have not placed any orders in the last year.,"SELECT c.CustomerID, c.CompanyName FROM customers c LEFT JOIN orders o ON c.CustomerID = o.CustomerID WHERE o.OrderID IS NULL OR o.OrderDate < DATE_SUB(CURDATE(), INTERVAL 1 YEAR);","```sql
SELECT c.CustomerID, c.CompanyName 
FROM customers c 
LEFT JOIN orders o ON c.CustomerID = o.CustomerID 
WHERE o.OrderID IS NULL OR o.OrderDate < DATEADD(year, -1, CURRENT_DATE);
```",Both queries correctly identify customers who have not placed any orders in the last year. The difference is in the date functions used: DATEADD and CURRENT_DATE in the generated query versus DATE_SUB and CURDATE in the ground truth query. Both achieve the same outcome.,"```sql
SELECT c.CustomerID, c.CompanyName, c.ContactName, c.ContactTitle, c.Address, c.City, c.Region, c.PostalCode, c.Country, c.Phone, c.Fax
FROM customers c
LEFT JOIN orders o ON c.CustomerID = o.CustomerID AND o.OrderDate >= DATEADD(year, -1, GETDATE())
WHERE o.OrderID IS NULL;
```","The generated SQL query only checks for orders placed within the last year using `DATEADD(year, -1, GETDATE())`. It does not account for customers who never placed any orders at all, unlike the ground truth SQL which checks using `DATE_SUB(CURDATE(), INTERVAL 1 YEAR)` and also considers `o.OrderID IS NULL` which correctly captures customers who have not placed any orders in the last year or ever.",FT,Base
Identify products with a unit price greater than the average unit price across all products.,"SELECT p.ProductID, p.ProductName FROM products p WHERE p.UnitPrice > (SELECT AVG(UnitPrice) FROM products);",SELECT ProductName FROM products WHERE UnitPrice > (SELECT AVG(UnitPrice) FROM products);,"The generated SQL query lacks the ProductID in the SELECT clause, which is included in the ground truth SQL query. Although the main criterion for filtering the products is met, the set of columns to be returned is not identical to those expected in the ground truth query.","```sql
SELECT ProductID, ProductName, UnitPrice
FROM products
WHERE UnitPrice > (SELECT AVG(UnitPrice) FROM products);
```","The generated SQL query correctly identifies products with a unit price greater than the average unit price across all products. It retrieves the ProductID, ProductName, and UnitPrice, whereas the ground truth query only retrieves ProductID and ProductName. The additional column does not affect the correctness of the result.",Base,FT
What is the most frequently ordered product in 2023?,"SELECT products.ProductID, products.ProductName, COUNT([Order Details].OrderID) AS order_count FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID GROUP BY products.ProductID ORDER BY order_count DESC LIMIT 1","SELECT products.ProductID, COUNT([Order Details].OrderID) AS order_frequency FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY products.ProductID ORDER BY order_frequency DESC LIMIT 1","The generated SQL query correctly identifies the most frequently ordered product in 2023 by considering the date range within 2023, but it doesn't include the product name in the result. The ground truth query does not consider the year 2023 specificity, which is essential for answering the user question.","```sql
SELECT products.ProductID, COUNT([Order Details].Quantity) AS order_count 
FROM [Order Details] 
JOIN orders ON [Order Details].OrderID = orders.OrderID 
WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' 
GROUP BY products.ProductID 
ORDER BY order_count DESC 
LIMIT 1;
```","The generated SQL query does not join the 'products' table correctly; it only joins 'Order Details' with 'orders'. Additionally, it uses 'orders.OrderDate' to filter for the year 2023 instead of 'Order Details.OrderID'. The generated query does not include the 'products.ProductName' column specified in the ground truth query.",Both,None
How many products were low on stock (below reorder level) in August 2023?,SELECT products.ProductID FROM products WHERE products.UnitsInStock < products.ReorderLevel AND MONTH(products.RecordDate) = 8 AND YEAR(products.RecordDate) = 2023,"SELECT products.ProductID, products.ProductName FROM products WHERE products.UnitsInStock < products.ReorderLevel AND products.ProductID IN (SELECT [Order Details].ProductID FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2023-08-01' AND '2023-08-31')","The generated SQL query checks for products low on stock based on whether they were ordered in August 2023, rather than checking the inventory record date directly. The correct query should use the RecordDate field in the products table to ensure the stock level is checked for August 2023 specifically.","```sql
SELECT COUNT(*) AS low_stock_products 
FROM products 
WHERE UnitsInStock < ReorderLevel AND ProductID IN (
    SELECT ProductID FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID 
    WHERE orders.OrderDate BETWEEN '2023-08-01' AND '2023-08-31'
);
```","The generated SQL query attempts to filter products based on orders made in August 2023, which is incorrect. It checks the order date rather than the product's stock level date. The ground truth SQL query correctly filters products that were below reorder level in August 2023 based on the product's stock level record date.",Both,None
What is the total number of products available in the inventory?,SELECT COUNT(*) FROM products;,SELECT SUM(UnitsInStock) AS TotalProductsAvailable FROM products;,"The generated SQL query calculates the sum of the units in stock for all products, which gives the total quantity of items available, not the number of distinct products. The ground truth SQL query counts the total number of distinct products in the inventory.","```sql
SELECT SUM(UnitsInStock) AS TotalProductsAvailable
FROM products;
```","The generated SQL query calculates the total number of available units in stock by summing the UnitsInStock column, whereas the ground truth query simply counts the total number of rows (i.e., the number of distinct products). The two queries provide different results: one gives the total units available and the other gives the total number of product types.",Both,None
What is the most ordered product in terms of quantity?,"SELECT products.ProductName, SUM([Order Details].Quantity) AS TotalQuantityOrdered FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID GROUP BY products.ProductName ORDER BY TotalQuantityOrdered DESC LIMIT 1;","SELECT p.ProductName, SUM(od.Quantity) AS TotalQuantity FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY p.ProductID ORDER BY TotalQuantity DESC;",The generated SQL query is missing the LIMIT 1 clause to return only the most ordered product.,"```sql
SELECT products.ProductName, SUM([Order Details].Quantity) AS TotalQuantity
FROM [Order Details]
JOIN products ON [Order Details].ProductID = products.ProductID
GROUP BY products.ProductName
ORDER BY TotalQuantity DESC
LIMIT 1;
```","The generated SQL query correctly calculates the total quantity ordered for each product, groups the results by product name, and orders them in descending order to return the most ordered product. The difference in column alias 'TotalQuantity' vs 'TotalQuantityOrdered' does not affect the correctness of the result.",Base,FT
How many products have less than 10 units in stock?,"SELECT ProductID, ProductName FROM products WHERE UnitsInStock < 10;",SELECT ProductName FROM products WHERE UnitsInStock < 10;,"The generated query does not answer the question correctly because it retrieves the names of the products with less than 10 units in stock, while the user is asking for the count of such products.","```sql
SELECT COUNT(*) AS LowStockCount 
FROM products 
WHERE UnitsInStock < 10;
```","The generated SQL query returns the count of products with less than 10 units in stock, which is not what the user question is specifically asking for. The ground truth query provides the actual detailed product information (ProductID and ProductName), not just the count.",Both,None
Which products have the highest and lowest inventory turnover ratio?,"SELECT p.ProductName, SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) AS InventoryTurnoverRatio FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductName ORDER BY InventoryTurnoverRatio DESC LIMIT 1;","SELECT p.ProductName, (SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock)) AS InventoryTurnoverRatio FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductID ORDER BY InventoryTurnoverRatio DESC LIMIT 1; SELECT p.ProductName, (SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock)) AS InventoryTurnoverRatio FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductID ORDER BY InventoryTurnoverRatio ASC LIMIT 1;","The generated SQL query consists of two separate queries: one for the highest inventory turnover ratio and the other for the lowest. However, generating two separate SELECT statements is not optimal. The ground truth query focuses on fetching just the highest turnover ratio product. Moreover, the generated query groups by ProductID instead of ProductName, which might not align with the user's request perfectly.","```sql
SELECT 
    p.ProductID, 
    p.ProductName, 
    SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) AS InventoryTurnoverRatio
FROM 
    products p
JOIN 
    [Order Details] od ON p.ProductID = od.ProductID
GROUP BY 
    p.ProductID, p.ProductName
ORDER BY 
    InventoryTurnoverRatio DESC
LIMIT 1
UNION ALL
SELECT 
    p.ProductID, 
    p.ProductName, 
    SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) AS InventoryTurnoverRatio
FROM 
    products p
JOIN 
    [Order Details] od ON p.ProductID = od.ProductID
GROUP BY 
    p.ProductID, p.ProductName
ORDER BY 
    InventoryTurnoverRatio ASC
LIMIT 1;
```","The generated SQL query attempts to select both the highest and lowest inventory turnover ratios by using UNION ALL with two separate queries. However, it doesn't correctly combine the results in a way that directly answers the question. The ground truth SQL query correctly focuses on finding only the highest inventory turnover ratio but does not address how to find the lowest. The generated query introduces unnecessary complexity and deviates from the structure needed to correctly answer the question.",Both,None
Identify employees with the highest and lowest order counts.,"SELECT e.EmployeeID, e.FirstName, e.LastName, COUNT(o.OrderID) AS OrderCount FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID GROUP BY e.EmployeeID ORDER BY OrderCount DESC LIMIT 1 UNION SELECT e.EmployeeID, e.FirstName, e.LastName, COUNT(o.OrderID) AS OrderCount FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID GROUP BY e.EmployeeID ORDER BY OrderCount ASC LIMIT 1;","```sql
SELECT e.EmployeeID, COUNT(o.OrderID) AS OrderCount FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID GROUP BY e.EmployeeID ORDER BY OrderCount DESC;
```",The generated SQL query does not accurately answer the question. It only retrieves the order counts of employees in descending order but does not identify the employees with the highest and lowest order counts. The ground truth query correctly identifies the employees with the highest and lowest order counts.,"```sql
SELECT EmployeeID, COUNT(OrderID) AS OrderCount
FROM orders
GROUP BY EmployeeID
ORDER BY OrderCount DESC
LIMIT 1;

SELECT EmployeeID, COUNT(OrderID) AS OrderCount
FROM orders
GROUP BY EmployeeID
ORDER BY OrderCount ASC
LIMIT 1;
```","The generated SQL query correctly identifies the employees with the highest and lowest order counts. However, it does not include the employee's full name (FirstName and LastName), which is included in the ground truth SQL query. Additionally, the generated query separates the results into two queries, whereas the ground truth combines them using UNION.",Both,None
What is the total revenue generated by each employee?,"SELECT EmployeeID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) as TotalRevenue FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY EmployeeID;","SELECT EmployeeID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalRevenue FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY o.EmployeeID;",The generated SQL query mistakenly references 'od.EmployeeID' instead of 'o.EmployeeID' in the GROUP BY clause.,"```sql
SELECT 
    orders.EmployeeID,
    SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalRevenue
FROM 
    orders
JOIN 
    [Order Details] ON orders.OrderID = [Order Details].OrderID
GROUP BY 
    orders.EmployeeID;
```","Both the generated SQL query and the ground truth SQL query calculate the total revenue generated by each employee by joining the 'orders' and '[Order Details]' tables on OrderID and then grouping the results by EmployeeID. The syntax and structure for both queries are effectively the same, and they will return the correct answer with equivalent result sets.",Base,FT
How many unique customers placed orders in the last quarter?,"SELECT COUNT(DISTINCT CustomerID) FROM orders WHERE OrderDate >= DATEADD(MONTH, -3, GETDATE());",SELECT COUNT(DISTINCT orders.CustomerID) AS UniqueCustomers FROM orders WHERE QUARTER(OrderDate) = QUARTER(NOW()) - 1 AND YEAR(OrderDate) = YEAR(NOW());,"The generated SQL query filters for orders placed in the last quarter of the current year, but the ground truth query finds orders in the last three months from the current date which might not strictly correspond to the last quarter. Additionally, the functions used for date manipulation differ (QUARTER and NOW vs. DATEADD and GETDATE). These differences could lead to different results depending on the current date.","```sql
SELECT COUNT(DISTINCT CustomerID) AS UniqueCustomers
FROM orders
WHERE OrderDate >= DATEADD(quarter, -1, GETDATE()) AND OrderDate < GETDATE();
```","The generated SQL query uses an incorrect date range. It calculates the date range as the last quarter from today, whereas the ground truth SQL query correctly uses the last 3 months from today. The date range logic should be consistent with the last 3 months.",Both,None
Which supplier has supplied the most quantity of products?,"SELECT SupplierID, SUM(UnitsOnOrder) AS TotalQuantitySupplied FROM products GROUP BY SupplierID ORDER BY TotalQuantitySupplied DESC LIMIT 1;","SELECT s.SupplierID, SUM(od.Quantity) AS TotalSupplied FROM products p JOIN suppliers s ON p.SupplierID = s.SupplierID JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY s.SupplierID ORDER BY TotalSupplied DESC;","The generated SQL query calculates the total quantity supplied based on the 'Order Details' table, whereas the user question is asking about the total quantity supplied based on the 'products' table, specifically the 'UnitsOnOrder'. Therefore, the data sources used are incorrect and the generated query would not provide the correct answer.","```sql
SELECT p.SupplierID, SUM(od.Quantity) AS TotalSupplied
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.SupplierID
ORDER BY TotalSupplied DESC
LIMIT 1;
```","The generated SQL query calculates the total quantity supplied using the Order Details table and sums the quantity from orders, while the ground truth SQL query calculates it using the UnitsOnOrder field from the products table. These approaches could yield different results depending on the data in these tables.",Both,None
Retrieve the contact information for all suppliers located in a specific region.,"SELECT SupplierID, CompanyName, ContactName, Phone, City, Region FROM suppliers WHERE Region = 'specified_region';","```sql
SELECT CompanyName, ContactName, Phone, City FROM suppliers WHERE Region = 'SpecificRegion';
```","The generated SQL query incorrectly assumes a specific region named 'SpecificRegion', while the ground truth query uses a placeholder 'specified_region' which suggests it can be replaced by an actual value. Moreover, the generated query does not include the 'SupplierID' and 'Region' fields in the SELECT clause, which are parts of the ground truth query result.","```sql
SELECT SupplierID, CompanyName, ContactName, ContactTitle, Address, City, PostalCode, Country, Phone, Fax
FROM suppliers
WHERE Region = 'specific_region';
```","The generated SQL query checks for 'specific_region', while the ground truth checks for 'specified_region'. Additionally, the generated query includes more columns than needed and misses the 'Region' column.",Both,None
Which category has the highest number of products?,"SELECT CategoryID, COUNT(ProductID) AS NumberOfProducts FROM products GROUP BY CategoryID ORDER BY NumberOfProducts DESC LIMIT 1;","SELECT c.CategoryID, COUNT(p.ProductID) AS NumberOfProducts FROM products p INNER JOIN categories c ON p.CategoryID = c.CategoryID GROUP BY c.CategoryID ORDER BY NumberOfProducts DESC;","The generated SQL query retrieves all categories ordered by the number of products, whereas the ground truth query retrieves only the category with the highest number of products by using the LIMIT 1 clause.","```sql
SELECT CategoryID, COUNT(ProductID) AS ProductCount
FROM products
GROUP BY CategoryID
ORDER BY ProductCount DESC
LIMIT 1;
```","The generated SQL query correctly answers the user question since it groups by CategoryID, counts the number of products for each category, and orders the results by the count in descending order, limiting the result to the top category. The differences in column label names do not affect the correctness of the results.",Base,FT
Which products received the highest total discount?,"SELECT products.ProductName, SUM([Order Details].Discount) AS TotalDiscount FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID GROUP BY products.ProductName ORDER BY TotalDiscount DESC;","SELECT p.ProductID, p.ProductName, SUM(od.Quantity * od.Discount) AS TotalDiscount FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductID ORDER BY TotalDiscount DESC;","The generated SQL query calculates the total discount by multiplying the quantity with the discount for each order detail, which is not required by the user question. The ground truth query correctly sums only the discounts, not taking quantity into account.","```sql
SELECT p.ProductID, p.ProductName, SUM(od.Discount) AS TotalDiscount
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName
ORDER BY TotalDiscount DESC;
```","The generated SQL query correctly answers the question by selecting the products along with the highest total discount. It aggregates the discount amounts for each product and orders them in descending order, which aligns with the user's request. The schema and logic of both queries are equivalent, despite minor differences in column naming.",Base,FT
Which regions have the highest average order value?,"SELECT ShipRegion, AVG([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS AverageOrderValue FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY ShipRegion ORDER BY AverageOrderValue DESC","SELECT ShipRegion, AVG(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS AvgOrderValue FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY ShipRegion ORDER BY AvgOrderValue DESC;","The generated SQL query correctly calculates the average order value per region by joining the 'orders' table with the 'Order Details' table, grouping by 'ShipRegion', and ordering the results by the average order value in descending order. The schema and the logic are consistent with the ground truth query.","```sql
SELECT 
    orders.ShipRegion, 
    SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS AverageOrderValue
FROM 
    orders
JOIN 
    [Order Details] ON orders.OrderID = [Order Details].OrderID
GROUP BY 
    orders.ShipRegion
ORDER BY 
    AverageOrderValue DESC;
```","The generated SQL query calculates the average order value by dividing the total value of orders by the count of distinct orders, which may not be accurate. The ground truth query correctly uses the AVG function to compute the average directly.",FT,Base
Identify the top 3 customers by revenue in the last quarter.,"SELECT customers.CustomerID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) as Revenue FROM customers JOIN orders ON customers.CustomerID = orders.CustomerID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID WHERE orders.OrderDate > DATE_SUB(NOW(), INTERVAL 3 MONTH) GROUP BY customers.CustomerID ORDER BY Revenue DESC LIMIT 3;","SELECT c.CustomerID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalRevenue FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE o.OrderDate BETWEEN DATE_SUB(CURRENT_DATE, INTERVAL 3 MONTH) AND CURRENT_DATE GROUP BY c.CustomerID ORDER BY TotalRevenue DESC LIMIT 3;","The generated SQL query includes orders from the entire past 3 months, not just the last quarter. The 'last quarter' typically refers to a specific 3-month period within the fiscal year, whereas the generated query calculates from the current date back 3 months.","```sql
SELECT 
    customers.CustomerID, 
    customers.CompanyName, 
    SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalRevenue
FROM 
    customers
JOIN 
    orders ON customers.CustomerID = orders.CustomerID
JOIN 
    [Order Details] ON orders.OrderID = [Order Details].OrderID
WHERE 
    orders.OrderDate BETWEEN DATEADD(QUARTER, -1, GETDATE()) AND GETDATE()
GROUP BY 
    customers.CustomerID, customers.CompanyName
ORDER BY 
    TotalRevenue DESC
LIMIT 3;
```","While both queries calculate the total revenue correctly, the generated SQL Query uses the incorrect method to determine the date range for the last quarter. It uses DATEADD(QUARTER, -1, GETDATE()), which does not precisely match the 3-month interval required. The ground truth query properly uses DATE_SUB(NOW(), INTERVAL 3 MONTH) to capture the last three months accurately. Additionally, the first query includes the CompanyName in the SELECT and GROUP BY statements, which is not necessary for answering the user question.",Both,None
What percentage of orders were delivered before the required date in 2022?,SELECT SUM(CASE WHEN YEAR(OrderDate) = 2022 AND ShippedDate <= RequiredDate THEN 1 ELSE 0 END) * 1.0 / COUNT(OrderID) AS BeforeRequiredDateRate FROM orders WHERE YEAR(OrderDate) = 2022,SELECT COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) / COUNT(*) AS OnTimeDeliveryRate FROM orders WHERE EXTRACT(YEAR FROM OrderDate) = 2022;,"The generated SQL query has an issue with the denominator of the division. It should count only those orders from 2022, but it currently counts all orders. Additionally, it filters the orders to be only from 2022 both in the WHERE clause and in the CASE statement, whereas it should only filter in the WHERE clause.","```sql
SELECT 
    (COUNT(OrderID WHERE ShippedDate < RequiredDate) * 100.0 / COUNT(OrderID)) AS PercentageDeliveredBeforeRequired
FROM 
    orders
WHERE 
    YEAR(OrderDate) = 2022;
```",The generated SQL query contains a syntax error with 'COUNT(OrderID WHERE ShippedDate < RequiredDate)'. The correct approach is to use a CASE statement to count the orders that were shipped before the required date.,Both,None
Which supplier has the shortest average lead time in April 2023?,"SELECT products.SupplierID, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS supplier_lead_time FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID JOIN products ON [Order Details].ProductID = products.ProductID WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-04-30' GROUP BY products.SupplierID ORDER BY supplier_lead_time ASC LIMIT 1","SELECT products.SupplierID, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS supplier_lead_time FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID JOIN products ON [Order Details].ProductID = products.ProductID WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-04-30' GROUP BY products.SupplierID ORDER BY supplier_lead_time ASC LIMIT 1","The generated SQL query is identical to the ground truth SQL query. It correctly selects the supplier with the shortest average lead time within April 2023 using appropriate joins and filtering. Therefore, it will give the correct answer to the user's question.","```sql
SELECT products.SupplierID, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS average_lead_time 
FROM orders 
JOIN products ON orders.OrderID = products.ProductID 
WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-04-30' 
GROUP BY products.SupplierID 
ORDER BY average_lead_time ASC 
LIMIT 1;
```","The generated SQL query incorrectly joins the orders table to the products table directly on orders.OrderID = products.ProductID. The correct join requires an intermediate join with an order details table on orders.OrderID = [Order Details].OrderID, followed by a join between [Order Details].ProductID and products.ProductID. This will ensure each order's product is correctly referenced.",FT,Base
Who are the employees reporting to each manager?,"SELECT m.EmployeeID AS ManagerID, m.LastName AS ManagerLastName, m.FirstName AS ManagerFirstName, e.EmployeeID AS EmployeeID, e.LastName AS EmployeeLastName, e.FirstName AS EmployeeFirstName FROM employees e JOIN employees m ON e.ReportsTo = m.EmployeeID;","```sql
SELECT e1.EmployeeID, e2.EmployeeID AS ReportsTo FROM employees e1 LEFT JOIN employees e2 ON e1.ReportsTo = e2.EmployeeID;
```","The generated SQL query does not correctly answer the question. It lists employee IDs without providing adequate details about the manager or the employees reporting to them. Additionally, the query should focus on employees with a direct reporting relationship, specifically using an inner join instead of a left join.","```sql
SELECT e1.FirstName AS EmployeeFirstName, e1.LastName AS EmployeeLastName, e2.FirstName AS ManagerFirstName, e2.LastName AS ManagerLastName
FROM employees e1
JOIN employees e2 ON e1.ReportsTo = e2.EmployeeID
ORDER BY e2.LastName, e2.FirstName, e1.LastName, e1.FirstName;
```","The generated SQL query correctly identifies the employees reporting to each manager by joining the employees table on the ReportsTo column and retrieving relevant employee and manager names. Although the columns in the result set differ slightly, both queries answer the user's question accurately.",Base,FT
How many orders were placed on weekends in the last three months?,"SELECT COUNT(OrderID) AS WeekendOrders FROM orders WHERE DAYOFWEEK(OrderDate) IN (1, 7) AND OrderDate >= DATE_SUB(CURDATE(), INTERVAL 3 MONTH)","SELECT COUNT(orders.OrderID) as WeekendOrdersCount FROM orders WHERE WEEKDAY(orders.OrderDate) IN (5, 6) AND orders.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 3 MONTH);","The generated SQL query uses WEEKDAY() function which considers Saturday (5) and Sunday (6) as weekends, whereas the ground truth query uses DAYOFWEEK() function which considers Sunday (1) and Saturday (7) as weekends. The two functions have different indexing and thus the generated query would give incorrect results.","```sql
SELECT COUNT(OrderID) 
FROM orders 
WHERE OrderDate >= DATEADD(MONTH, -3, GETDATE()) 
AND DATENAME(WEEKDAY, OrderDate) IN ('Saturday', 'Sunday');
```","The generated query uses 'DATENAME(WEEKDAY, OrderDate)' to extract the name of the day, whereas the ground truth query uses 'DAYOFWEEK(OrderDate)' which returns an integer representing the day of the week. The generated query also uses 'DATEADD(MONTH, -3, GETDATE())' to extract the date from 3 months ago, whereas the ground truth query uses 'DATE_SUB(CURDATE(), INTERVAL 3 MONTH)'. Although the approaches are different, the generated query will produce the intended result as the schema and logic are correct. However, care must be taken as the naming of weekdays ('Saturday', 'Sunday') should match the database configuration for locale. Overall, I would adjust my response to 'yes' considering these specifics might already match.",Both,None
How many products have been ordered but not yet shipped?,SELECT orders.OrderID FROM orders WHERE orders.ShippedDate IS NULL;,SELECT SUM(UnitsOnOrder) AS ProductsNotShipped FROM products;,"The generated SQL query sums the 'UnitsOnOrder' from the 'products' table, which indicates the total units of products ordered. However, the user asked for the number of products that have been ordered but not yet shipped. The ground truth SQL query correctly checks the 'orders' table for orders where the 'ShippedDate' is NULL, which accurately answers the user's question.","```sql
SELECT COUNT(DISTINCT [Order Details].ProductID) AS ProductsOrderedNotShipped
FROM orders
JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID
WHERE orders.ShippedDate IS NULL;
```","The generated SQL query counts the distinct ProductIDs from the Order Details table where the related orders have not been shipped, which aligns with the user question asking for how many products have been ordered but not yet shipped. The ground truth query, however, only retrieves OrderIDs from the orders table without addressing the product count or status, thus it does not answer the user's question correctly. Hence, the generated SQL query is correct, but the ground truth query is not.",Both,None
