User Question,Ground Truth SQL Query,Generated SQL by Base Model,Explanation by Base Model,Generated SQL by FT Model,Explanation by FT Model,Model that got it right
What is the distribution of shipping costs?,"SELECT Freight, COUNT(*) AS Frequency FROM orders GROUP BY Freight ORDER BY Frequency DESC;","```sql
SELECT Freight, COUNT(OrderID) AS OrderCount
FROM orders
GROUP BY Freight
ORDER BY Freight;
```","The generated query orders results by Freight values, while the ground truth orders by Frequency in descending order. These will yield different result orders.","SELECT Freight, COUNT(OrderID) AS NumberOfShipments FROM orders GROUP BY Freight;",Both queries calculate the distribution of shipping costs by grouping orders by the Freight value and counting them. The difference in column naming and the ORDER BY clause does not affect the fundamental output.,FT
How do discount rates impact the average order value?,"SELECT AVG(([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount))) AS avg_order_value, [Order Details].Discount FROM [Order Details] GROUP BY [Order Details].Discount","```sql
SELECT 
    Discount,
    AVG(SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount))) AS avg_order_value
FROM 
    [Order Details] 
JOIN 
    orders ON [Order Details].OrderID = orders.OrderID
GROUP BY 
    Discount
```","The generated query incorrectly uses AVG(SUM(..)) causing aggregation issues; it also includes a JOIN with the orders table, which is unnecessary for calculating average order value grouped by discount.","SELECT d.Discount, AVG(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS AverageOrderValue FROM [Order Details] od JOIN discounts d ON od.Discount = d.Discount GROUP BY d.Discount;","Both queries calculate the average order value grouped by discount rates, with the formula (UnitPrice * Quantity * (1 - Discount)). The JOIN in the generated query is unnecessary, but doesn't affect the result as both use the same grouping and calculation from [Order Details].",FT
What are the total sales for each supplier?,"SELECT SupplierID, SUM([Order Details].Quantity * [Order Details].UnitPrice) AS TotalSales FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY SupplierID;","```sql
SELECT p.SupplierID, SUM(od.Quantity * od.UnitPrice) AS TotalSales
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.SupplierID;
```","Both queries select SupplierID and calculate the sum of Quantity multiplied by UnitPrice from the products and order details tables, grouped by SupplierID.","SELECT suppliers.SupplierID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY suppliers.SupplierID;","The generated SQL query includes a discount in the total sales calculation, which is not considered in the ground truth query. The results will differ if there are any discounts.",Base
Which products have not been ordered at all?,SELECT ProductName FROM products WHERE ProductID NOT IN (SELECT DISTINCT ProductID FROM [Order Details]);,"```sql
SELECT p.ProductID, p.ProductName
FROM products p
LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID
WHERE od.OrderID IS NULL;
```",Both queries identify products that have not been ordered by checking for the absence of corresponding records in the [Order Details] table.,SELECT ProductID FROM products WHERE ProductID NOT IN (SELECT DISTINCT ProductID FROM [Order Details]);,"The generated query returns 'ProductID', whereas the ground truth query returns 'ProductName'. They do not yield the same result.",Base
How many orders were placed but not shipped yet?,SELECT COUNT(*) FROM orders WHERE ShippedDate IS NULL;,"```sql
SELECT COUNT(*) AS UnshippedOrders
FROM orders
WHERE ShippedDate IS NULL;
```","Both queries count the orders where the ShippedDate is NULL, meaning they are not shipped yet. They yield the same result.",SELECT COUNT(OrderID) AS PendingOrders FROM orders WHERE ShippedDate IS NULL;,"Both queries count the number of orders where ShippedDate is NULL, which correspond to orders that have been placed but not yet shipped.",both
Which product has the highest sales volume this quarter?,"SELECT products.ProductID, SUM([Order Details].Quantity) AS sales_volume FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE QUARTER(orders.OrderDate) = QUARTER(CURDATE()) AND YEAR(orders.OrderDate) = YEAR(CURDATE()) GROUP BY products.ProductID ORDER BY sales_volume DESC LIMIT 1","```sql
SELECT products.ProductID, SUM([Order Details].Quantity) AS total_sales_volume
FROM [Order Details]
JOIN orders ON [Order Details].OrderID = orders.OrderID
WHERE orders.OrderDate >= '2023-07-01' AND orders.OrderDate < '2023-10-01'
GROUP BY products.ProductID
ORDER BY total_sales_volume DESC
LIMIT 1
```",The generated query uses specific dates for this quarter while the ground truth query dynamically calculates the current quarter and year using functions. This could result in different outcomes depending on when the query is run.,"SELECT p.ProductName, SUM(od.Quantity) AS TotalQuantity FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID JOIN orders o ON od.OrderID = o.OrderID WHERE QUARTER(o.OrderDate) = QUARTER(CURRENT_DATE) AND YEAR(o.OrderDate) = YEAR(CURRENT_DATE) GROUP BY p.ProductName ORDER BY TotalQuantity DESC LIMIT 1;","Both queries calculate the same metric but display different fields; however, they both identify the product with the highest sales volume by summing quantities in the current quarter.",FT
Identify cities with the highest average order fulfillment time.,"SELECT ShipCity, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgFulfillmentTime FROM orders GROUP BY ShipCity ORDER BY AvgFulfillmentTime DESC;","```sql
SELECT ShipCity, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgFulfillmentTime
FROM orders
GROUP BY ShipCity
ORDER BY AvgFulfillmentTime DESC;
```","Both queries are identical in logic and will yield the same results, identifying cities with the highest average order fulfillment time.","SELECT ShipCity, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgFulfillmentTime FROM orders GROUP BY ShipCity ORDER BY AvgFulfillmentTime DESC;","The generated SQL query and the ground truth SQL query are identical, both correctly calculating the average order fulfillment time per city and ordering the results in descending order.",both
What is the average number of days between order date and required date?,"SELECT AVG(DATEDIFF(RequiredDate, OrderDate)) AS AvgDaysRequired FROM orders;","```sql
SELECT AVG(DATEDIFF(RequiredDate, OrderDate)) AS AverageDays
FROM orders;
```","Both queries calculate the average number of days between 'OrderDate' and 'RequiredDate' from the 'orders' table. The differences are only in the alias used for the result, which does not affect the output.","SELECT AVG(DATEDIFF(RequiredDate, OrderDate)) AS AvgDaysBetween FROM orders;","Both queries calculate the average number of days between the order date and required date using the same logic and table, only the alias name differs.",both
How many orders were placed by each employee in the year 2022?,"SELECT e.EmployeeID, COUNT(o.OrderID) AS TotalOrders FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID WHERE YEAR(o.OrderDate) = 2022 GROUP BY e.EmployeeID;","```sql
SELECT employees.EmployeeID, COUNT(orders.OrderID) AS OrderCount
FROM employees
JOIN orders ON employees.EmployeeID = orders.EmployeeID
WHERE YEAR(orders.OrderDate) = 2022
GROUP BY employees.EmployeeID;
```","Both queries calculate the number of orders placed by each employee in 2022 using the same logic and structure, involving a join between the employees and orders tables, a filter on the order date, and a group by clause on EmployeeID.","SELECT e.EmployeeID, COUNT(o.OrderID) AS OrderCount FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID WHERE YEAR(o.OrderDate) = 2022 GROUP BY e.EmployeeID;","Both queries count the number of orders placed by each employee in 2022, and the only difference is the alias for the count column, which doesn't affect the result.",both
What is the total sales generated by employees hired in the last five years?,"SELECT employees.EmployeeID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID WHERE employees.HireDate >= DATE_SUB(CURRENT_DATE, INTERVAL 5 YEAR) GROUP BY employees.EmployeeID;","```sql
SELECT e.EmployeeID, e.FirstName, e.LastName, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
JOIN [Order Details] od ON o.OrderID = od.OrderID
WHERE e.HireDate >= DATEADD(YEAR, -5, CURRENT_DATE)
GROUP BY e.EmployeeID
```","Both queries calculate the total sales for employees hired in the last five years, joining the same tables and using equivalent date conditions to filter employees.","SELECT CONCAT(employees.FirstName, ' ', employees.LastName) AS EmployeeName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID WHERE employees.HireDate >= DATE_SUB(CURDATE(), INTERVAL 5 YEAR) GROUP BY EmployeeName;","The generated query groups by employee's full name. The ground truth groups by EmployeeID, which is more likely to be the correct approach for consistent results regardless of name changes or duplicates.",Base
Identify orders that have not been shipped within 30 days of the order date.,"SELECT OrderID FROM orders WHERE DATEDIFF(ShippedDate, OrderDate) > 30 AND ShippedDate IS NULL;","```sql
SELECT *
FROM orders
WHERE DATEDIFF(ShippedDate, OrderDate) > 30;
```","The generated query looks for shipped orders with a ship date greater than 30 days post order date, while the ground truth searches for orders not shipped yet, indicated by ShippedDate IS NULL.","SELECT OrderID FROM orders WHERE DATEDIFF(ShippedDate, OrderDate) > 30;","The generated SQL query does not account for orders that have not been shipped at all, as it does not check if ShippedDate IS NULL.",None
Determine the on-time delivery rate for each shipping method.,"SELECT ShipVia, SUM(CASE WHEN ShippedDate <= RequiredDate THEN 1 ELSE 0 END) / COUNT(OrderID) AS OnTimeDeliveryRate FROM orders GROUP BY ShipVia;","```sql
SELECT ShipVia, 
       COUNT(OrderID) AS TotalOrders,
       COUNT(OrderID) FILTER (WHERE ShippedDate <= RequiredDate) AS OnTimeDeliveries,
       (COUNT(OrderID) FILTER (WHERE ShippedDate <= RequiredDate) * 1.0 / COUNT(OrderID)) * 100 AS OnTimeDeliveryRate
FROM orders
GROUP BY ShipVia;
```",Both queries calculate the on-time delivery rate for each shipping method correctly. They use different aggregation methods but yield the same result.,"SELECT ShipVia, COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) * 100.0 / COUNT(OrderID) AS OnTimeRate FROM orders GROUP BY ShipVia;","Both queries calculate the on-time delivery rate for each shipping method using a conditional expression to count the on-time orders and divide by the total orders. The mathematical operations differ (multiplying by 100.0 vs. summing with ELSE 0), but they ultimately yield the same ratio as a decimal, consistent with the goal of determining on-time rate.",both
Which shipping method is the fastest on average to fulfill an order?,"SELECT ShipVia, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgFulfillmentTime FROM orders GROUP BY ShipVia ORDER BY AvgFulfillmentTime ASC LIMIT 1;","```sql
SELECT ShipVia, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AverageFulfillmentTime
FROM orders
GROUP BY ShipVia
ORDER BY AverageFulfillmentTime ASC
LIMIT 1;
```",Both queries calculate the average fulfillment time for each shipping method and order by the fastest. They yield the same result.,"SELECT ShipVia, AVG(ShippedDate - OrderDate) AS AverageFulfillmentTime FROM orders GROUP BY ShipVia ORDER BY AverageFulfillmentTime ASC LIMIT 1;",Both queries calculate the average fulfillment time by subtracting OrderDate from ShippedDate for each shipping method and sort the results to find the fastest. The difference in date calculation method does not affect the logic as both yield the same outcome.,both
Calculate the total freight cost for orders shipped to each country.,"SELECT o.ShipCountry, SUM(o.Freight) AS TotalFreight FROM orders o GROUP BY o.ShipCountry;","```sql
SELECT ShipCountry, SUM(Freight) AS TotalFreightCost
FROM orders
GROUP BY ShipCountry;
```","Both queries calculate the total freight cost for orders grouped by ShipCountry. The aliasing differs, but the results are the same.","SELECT ShipCountry, SUM(Freight) AS TotalFreightCost FROM orders GROUP BY ShipCountry;","Both queries calculate the total freight cost for each country using the same logic and structure, despite slight differences in table aliasing.",both
What products have been ordered most frequently?,"SELECT ProductID, SUM(Quantity) AS TotalQuantity FROM [Order Details] GROUP BY ProductID ORDER BY TotalQuantity DESC;","```sql
SELECT [Order Details].ProductID, SUM([Order Details].Quantity) AS TotalQuantity
FROM [Order Details]
GROUP BY [Order Details].ProductID
ORDER BY TotalQuantity DESC;
```",Both queries calculate the sum of quantities for each product and order the results in descending order. The use of table aliases or different syntax does not affect the result.,"SELECT ProductID, COUNT(OrderID) AS Frequency FROM [Order Details] GROUP BY ProductID ORDER BY Frequency DESC;","The generated query counts the number of orders each product is in, while the ground truth query sums the quantities ordered. These yield different values: frequency of orders vs total quantity ordered.",Base
Identify the product with the highest performance metric based on sales.,"SELECT p.ProductID, p.ProductName, SUM(od.Quantity) AS TotalSales FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductID, p.ProductName ORDER BY TotalSales DESC LIMIT 1;","```sql
SELECT products.ProductID, products.ProductName, SUM([Order Details].Quantity) AS TotalSales
FROM products
JOIN [Order Details] ON products.ProductID = [Order Details].ProductID
GROUP BY products.ProductID, products.ProductName
ORDER BY TotalSales DESC
LIMIT 1;
```","Both queries calculate the total sales for each product and return the product with the highest total sales, using the same logic and SQL functions.","SELECT ProductID, SUM([Order Details].Quantity) AS PerformanceMetric FROM [Order Details] GROUP BY ProductID ORDER BY PerformanceMetric DESC LIMIT 1;",The generated query does not include ProductName and may yield a different ProductID if names are not uniquely associated with product IDs.,Base
What is the total sales revenue generated for each month?,"SELECT DATE_TRUNC('month', OrderDate) AS Month, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY Month;","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month,
    SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS Total_Sales
FROM 
    orders
JOIN 
    [Order Details] ON orders.OrderID = [Order Details].OrderID
GROUP BY 
    Month
ORDER BY 
    Month;
```","Both queries calculate the total sales revenue per month by summing the product of UnitPrice, Quantity, and (1 - Discount) from the [Order Details] table after joining with the orders table. They group the results by month, though they use different methods for formatting the date: DATE_FORMAT vs. DATE_TRUNC.","SELECT DATE_TRUNC('month', o.OrderDate) AS Month, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM orders o JOIN ""Order Details"" od ON o.OrderID = od.OrderID GROUP BY Month ORDER BY Month;","Both queries accurately calculate the total sales revenue for each month. The only differences are in the syntax for table names ('Order Details' vs [Order Details]) and the ORDER BY clause in the generated query, which does not affect the correctness.",both
How have employee sales changed month over month?,"SELECT e.EmployeeID, EXTRACT(MONTH FROM o.OrderDate) AS OrderMonth, EXTRACT(YEAR FROM o.OrderDate) AS OrderYear, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS MonthlySales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY e.EmployeeID, OrderYear, OrderMonth ORDER BY e.EmployeeID, OrderYear, OrderMonth","```sql
SELECT 
    DATE_FORMAT(o.OrderDate, '%Y-%m') AS Month,
    e.FirstName,
    e.LastName,
    SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM 
    employees e
JOIN 
    orders o ON e.EmployeeID = o.EmployeeID
JOIN 
    [Order Details] od ON o.OrderID = od.OrderID
GROUP BY 
    Month, e.EmployeeID
ORDER BY 
    Month, e.EmployeeID;
```","The generated query includes employee names in the GROUP BY and output, while the ground truth query focuses on EmployeeID and extracts year and month separately.","SELECT e.EmployeeID, YEAR(o.OrderDate) AS Year, MONTH(o.OrderDate) AS Month, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) - LAG(SUM(od.UnitPrice * od.Quantity * (1 - od.Discount))) OVER (PARTITION BY e.EmployeeID ORDER BY YEAR(o.OrderDate), MONTH(o.OrderDate)) AS MonthOverMonthChange FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY e.EmployeeID, YEAR(o.OrderDate), MONTH(o.OrderDate);","The generated query calculates month-over-month sales change with LAG function, whereas the ground truth query only calculates total monthly sales without change calculations.",None
How many orders have a discount greater than 20%?,SELECT COUNT(DISTINCT od.OrderID) AS HighDiscountOrders FROM [Order Details] od WHERE od.Discount > 0.20;,"```sql
SELECT COUNT(*) AS OrderCount
FROM [Order Details]
WHERE Discount > 0.20;
```","The generated query counts all records with over 20% discount, not distinct orders. Ground truth counts distinct orders.",SELECT COUNT(DISTINCT od.OrderID) AS CountOfDiscountedOrders FROM [Order Details] od WHERE od.Discount > 0.2;,"Both queries count distinct OrderIDs from the Order Details table where the discount is greater than 20%, thus they produce the same result.",FT
Which employees have completed sales across multiple countries?,SELECT e.EmployeeID FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID GROUP BY e.EmployeeID HAVING COUNT(DISTINCT o.ShipCountry) > 1,"```sql
SELECT DISTINCT e.EmployeeID, e.FirstName, e.LastName
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
GROUP BY e.EmployeeID
HAVING COUNT(DISTINCT o.ShipCountry) > 1;
```","Both queries group employees based on EmployeeID and check if they completed sales in more than one country using COUNT(DISTINCT o.ShipCountry) > 1. The generated query includes additional columns (FirstName, LastName) in the SELECT clause, which do not affect the logic or results regarding EmployeeID.","SELECT DISTINCT e.EmployeeID, e.FirstName, e.LastName FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID GROUP BY e.EmployeeID, e.FirstName, e.LastName HAVING COUNT(DISTINCT o.ShipCountry) > 1;","The generated query includes employee names in the SELECT clause, while the ground truth query only selects EmployeeID. This results in different output structures even though both determine which employees made sales in multiple countries.",Base
Identify customers who have ordered within the last month but not in the previous three months.,SELECT customers.CustomerID FROM customers JOIN orders ON customers.CustomerID = orders.CustomerID WHERE orders.OrderDate BETWEEN CURRENT_DATE - INTERVAL '1 month' AND CURRENT_DATE AND customers.CustomerID NOT IN (SELECT CustomerID FROM orders WHERE OrderDate BETWEEN CURRENT_DATE - INTERVAL '4 months' AND CURRENT_DATE - INTERVAL '2 month');,"```sql
SELECT DISTINCT c.CustomerID, c.CompanyName
FROM customers c
JOIN orders o ON c.CustomerID = o.CustomerID
WHERE o.OrderDate >= DATEADD(month, -1, GETDATE())
AND c.CustomerID NOT IN (
    SELECT DISTINCT o2.CustomerID 
    FROM orders o2 
    WHERE o2.OrderDate < DATEADD(month, -1, GETDATE()) 
    AND o2.OrderDate >= DATEADD(month, -4, GETDATE())
);
```","The generated query incorrectly uses DATEADD and GETDATE(), which aren't ANSI SQL functions. It also evaluates 'not in previous three months' incorrectly as it includes an additional month.","SELECT DISTINCT CustomerID FROM orders WHERE OrderDate BETWEEN DATE_SUB(CURRENT_DATE, INTERVAL 1 MONTH) AND CURRENT_DATE AND CustomerID NOT IN (SELECT DISTINCT CustomerID FROM orders WHERE OrderDate BETWEEN DATE_SUB(CURRENT_DATE, INTERVAL 4 MONTH) AND DATE_SUB(CURRENT_DATE, INTERVAL 1 MONTH));",The generated query checks within 4 to 1 month while the ground truth checks 4 to 2 months for previous orders.,None
Determine the month with the highest total sales in the previous year.,"SELECT MONTH(o.OrderDate) AS Month, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE YEAR(o.OrderDate) = YEAR(CURRENT_DATE) - 1 GROUP BY MONTH(o.OrderDate) ORDER BY TotalSales DESC LIMIT 1;","```sql
SELECT DATE_FORMAT(orders.OrderDate, '%Y-%m') AS Month, 
       SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales
FROM orders
JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID
WHERE YEAR(orders.OrderDate) = YEAR(CURDATE()) - 1
GROUP BY Month
ORDER BY TotalSales DESC
LIMIT 1;
```","Both queries correctly calculate the total sales per month for the previous year and select the month with the highest sales, despite different formatting for the date in the GROUP BY clause.","SELECT TO_CHAR(o.OrderDate, 'YYYY-MM') AS Month, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS MonthlySales FROM orders o JOIN ""Order Details"" od ON o.OrderID = od.OrderID WHERE EXTRACT(YEAR FROM o.OrderDate) = EXTRACT(YEAR FROM CURRENT_DATE) - 1 GROUP BY Month ORDER BY MonthlySales DESC LIMIT 1;","Both queries extract the year from the order date of the previous year, group by month, and calculate the total sales. They also order results by total sales in descending order and limit to the top result. The differences in SQL functions and syntax do not affect the result.",both
What is the total revenue for products provided by each supplier?,"SELECT s.SupplierID, SUM(od.Quantity * od.UnitPrice * (1 - od.Discount)) AS TotalRevenue FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID JOIN suppliers s ON p.SupplierID = s.SupplierID GROUP BY s.SupplierID;","```sql
SELECT p.SupplierID, SUM(od.Quantity * od.UnitPrice) AS TotalRevenue
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.SupplierID;
```","The generated query does not account for discounts, whereas the ground truth query includes a discount in the revenue calculation.","SELECT SupplierID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalRevenue FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY SupplierID;","Both queries calculate total revenue by joining 'Order Details' with 'products' to get the SupplierID and grouping by SupplierID. They both correctly perform the multiplication of UnitPrice, Quantity, and account for Discount to calculate TotalRevenue.",FT
Which city has the highest number of orders shipped in 2023?,"SELECT orders.ShipCity, COUNT(orders.OrderID) AS total_orders FROM orders WHERE YEAR(orders.ShippedDate) = 2023 GROUP BY orders.ShipCity ORDER BY total_orders DESC LIMIT 1","```sql
SELECT ShipCity, COUNT(OrderID) AS number_of_orders
FROM orders
WHERE YEAR(ShippedDate) = 2023
GROUP BY ShipCity
ORDER BY number_of_orders DESC
LIMIT 1
```","Both queries select the city with the highest number of orders shipped in 2023, grouping by city and ordering by order count, then limiting the result to one entry.","SELECT ShipCity, COUNT(OrderID) AS NumberOfOrders FROM orders WHERE EXTRACT(YEAR FROM ShippedDate) = 2023 GROUP BY ShipCity ORDER BY NumberOfOrders DESC LIMIT 1;","Both queries accurately count orders by city for 2023, group by ShipCity, and order to find the city with the highest count. The difference in SQL functions (EXTRACT vs. YEAR) does not affect the result.",both
Which shipping methods are used most frequently?,"SELECT o.ShipVia, COUNT(o.OrderID) AS UsageCount FROM orders o GROUP BY o.ShipVia ORDER BY UsageCount DESC;","```sql
SELECT ShipVia, COUNT(*) AS Frequency
FROM orders
GROUP BY ShipVia
ORDER BY Frequency DESC;
```",Both queries count the frequency of each shipping method using the 'ShipVia' column and order the results in descending order. They will yield the same results.,"SELECT ShipVia, COUNT(OrderID) AS Frequency FROM orders GROUP BY ShipVia ORDER BY Frequency DESC;",Both queries calculate the frequency of usage for each shipping method and order by it in descending order. They are functionally equivalent.,both
What was the longest order fulfillment time recorded?,"SELECT MAX(DATEDIFF(ShippedDate, OrderDate)) AS longest_fulfillment_time FROM orders;","```sql
SELECT MAX(DATEDIFF(ShippedDate, OrderDate)) AS Longest_Fulfillment_Time
FROM orders;
```","Both queries calculate the maximum difference in days between the 'ShippedDate' and 'OrderDate' from the 'orders' table, resolving the user's question of the longest fulfillment time.","SELECT MAX(DATEDIFF(ShippedDate, OrderDate)) AS LongestFulfillmentTime FROM orders;","The generated SQL query and the ground truth query both calculate the maximum difference between 'ShippedDate' and 'OrderDate' from the 'orders' table, producing the same result.",both
Calculate the total freight cost for shipments to each country.,"SELECT ShipCountry, SUM(Freight) AS TotalFreightCost FROM orders GROUP BY ShipCountry;","```sql
SELECT ShipCountry, SUM(Freight) AS TotalFreightCost
FROM orders
GROUP BY ShipCountry;
```","Both queries group the 'orders' table by 'ShipCountry' and calculate the sum of 'Freight', resulting in the same output.","SELECT ShipCountry, SUM(Freight) AS TotalFreightCost FROM orders GROUP BY ShipCountry;",Both the generated SQL query and the ground truth query calculate the total freight cost for shipments to each country. They are identical and will yield the same results.,both
How many orders are pending shipment?,SELECT COUNT(OrderID) FROM orders WHERE ShippedDate IS NULL;,"```sql
SELECT COUNT(OrderID) AS PendingShipment
FROM orders
WHERE ShippedDate IS NULL;
```","Both queries count the number of orders where ShippedDate is NULL, indicating pending shipment. The difference in alias does not affect the outcome.",SELECT COUNT(OrderID) FROM orders WHERE ShippedDate IS NULL;,"The generated SQL query accurately counts the number of orders with a NULL ShippedDate, which signifies orders pending shipment. It matches the ground truth query.",both
What is the total discount given on all orders?,SELECT SUM(UnitPrice * Quantity * Discount) AS TotalDiscount FROM [Order Details];,"```sql
SELECT SUM([Order Details].UnitPrice * [Order Details].Quantity * [Order Details].Discount) AS TotalDiscount
FROM [Order Details];
```","Both queries calculate the total discount by summing the product of UnitPrice, Quantity, and Discount from the [Order Details] table. The difference in formatting does not affect the result.",SELECT SUM([Order Details].UnitPrice * [Order Details].Quantity * [Order Details].Discount) AS TotalDiscount FROM [Order Details];,"Both queries accurately calculate the total discount by summing the product of UnitPrice, Quantity, and Discount from the [Order Details] table. The syntax is effectively the same.",both
Calculate the monthly product performance based on sales quantities.,"SELECT P.ProductID, EXTRACT(YEAR FROM O.OrderDate) AS Year, EXTRACT(MONTH FROM O.OrderDate) AS Month, SUM(OD.Quantity) AS MonthlyPerformance FROM [Order Details] OD JOIN products P ON OD.ProductID = P.ProductID JOIN orders O ON OD.OrderID = O.OrderID GROUP BY P.ProductID, Year, Month;","```sql
SELECT p.ProductID, p.ProductName, SUM(od.Quantity) AS TotalSales
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName
```","The generated SQL query aggregates sales quantities without considering the monthly breakdown. The ground truth query groups sales quantities by product along with year and month obtained from the order date, which aligns with the user's request for monthly performance.","SELECT p.ProductName, EXTRACT(YEAR FROM o.OrderDate) AS Year, EXTRACT(MONTH FROM o.OrderDate) AS Month, SUM(od.Quantity) AS TotalQuantity FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID JOIN orders o ON o.OrderID = od.OrderID GROUP BY p.ProductName, Year, Month;","The generated query groups by ProductName, while the ground truth groups by ProductID. Both queries will produce different results regarding product identification.",None
What is the total freight cost by shipping company?,"SELECT ShipVia, SUM(Freight) AS TotalFreight FROM orders GROUP BY ShipVia;","```sql
SELECT ShipVia, SUM(Freight) AS TotalFreightCost
FROM orders
GROUP BY ShipVia;
```","Both queries calculate the total freight cost for each shipping company (ShipVia) using the SUM aggregation function on the Freight column. The only difference is the alias used for the total freight cost, which does not affect the result.","SELECT ShipVia, SUM(Freight) AS TotalFreightCost FROM orders GROUP BY ShipVia;",Both queries calculate the total freight cost grouped by shipping company. The difference in alias naming does not affect the result.,both
List suppliers located in the same city.,"SELECT DISTINCT s1.CompanyName, s2.CompanyName FROM suppliers s1 JOIN suppliers s2 ON s1.City = s2.City AND s1.SupplierID < s2.SupplierID;","```sql
SELECT s1.CompanyName AS Supplier1, s2.CompanyName AS Supplier2, s1.City
FROM suppliers s1
JOIN suppliers s2 ON s1.City = s2.City AND s1.SupplierID <> s2.SupplierID;
```","Both queries aim to list supplier pairs located in the same city but represented with different conditions for avoiding duplicates. The generated query permits reverse pairs, which is syntactically valid and achieves the same outcome.","SELECT s1.SupplierID AS Supplier1ID, s2.SupplierID AS Supplier2ID, s1.City FROM suppliers s1 JOIN suppliers s2 ON s1.SupplierID < s2.SupplierID AND s1.City = s2.City;","Both queries identify pairs of suppliers in the same city using a self-join and an inequality on SupplierID, ensuring no duplicate pairs. The fields selected are different but answer the user's question.",both
